disasterType,id,disasterNumber,state,incidentBeginDate,placeCode,declaredCountyArea,incidentType
DR,59b5d37f8d585ca31f3ec564,4337,FL,2017-09-04T13:00:00.000Z,99041,Gilchrist (County),Hurricane
DR,59b5d37f8d585ca31f3ec563,4337,FL,2017-09-04T13:00:00.000Z,99031,Duval (County),Hurricane
DR,59b5d37f8d585ca31f3ec562,4337,FL,2017-09-04T13:00:00.000Z,99019,Clay (County),Hurricane
DR,59b5d37f8d585ca31f3ec561,4337,FL,2017-09-04T13:00:00.000Z,99009,Brevard (County),Hurricane
DR,59b5d37f8d585ca31f3ec560,4337,FL,2017-09-04T13:00:00.000Z,99127,Volusia (County),Hurricane
DR,59b5d37f8d585ca31f3ec55f,4337,FL,2017-09-04T13:00:00.000Z,99111,St. Lucie (County),Hurricane
DR,59b5d37f8d585ca31f3ec55e,4337,FL,2017-09-04T13:00:00.000Z,99107,Putnam (County),Hurricane
DR,59b5d37f8d585ca31f3ec55d,4337,FL,2017-09-04T13:00:00.000Z,99097,Osceola (County),Hurricane
DR,59b5d37f8d585ca31f3ec55c,4337,FL,2017-09-04T13:00:00.000Z,99087,Monroe (County),Hurricane
DR,59b5d37f8d585ca31f3ec55b,4337,FL,2017-09-04T13:00:00.000Z,99079,Madison (County),Hurricane
DR,59b5d37f8d585ca31f3ec55a,4337,FL,2017-09-04T13:00:00.000Z,99069,Lake (County),Hurricane
DR,59b5d37f8d585ca31f3ec559,4337,FL,2017-09-04T13:00:00.000Z,99059,Holmes (County),Hurricane
DR,59b5d37f8d585ca31f3ec558,4337,FL,2017-09-04T13:00:00.000Z,99049,Hardee (County),Hurricane
DR,59b5d37f8d585ca31f3ec557,4337,FL,2017-09-04T13:00:00.000Z,99039,Gadsden (County),Hurricane
DR,59b5d37f8d585ca31f3ec556,4337,FL,2017-09-04T13:00:00.000Z,99029,Dixie (County),Hurricane
DR,59b5d37f8d585ca31f3ec555,4337,FL,2017-09-04T13:00:00.000Z,99017,Citrus (County),Hurricane
DR,59b5d37f8d585ca31f3ec554,4337,FL,2017-09-04T13:00:00.000Z,99007,Bradford (County),Hurricane
DR,59b5d37f8d585ca31f3ec553,4337,FL,2017-09-04T13:00:00.000Z,99125,Union (County),Hurricane
DR,59b5d37f8d585ca31f3ec551,4337,FL,2017-09-04T13:00:00.000Z,99105,Polk (County),Hurricane
DR,59b5d37f8d585ca31f3ec54c,4337,FL,2017-09-04T13:00:00.000Z,99057,Hillsborough (County),Hurricane
DR,59b5d37f8d585ca31f3ec550,4337,FL,2017-09-04T13:00:00.000Z,99095,Orange (County),Hurricane
DR,59b5d37f8d585ca31f3ec54e,4337,FL,2017-09-04T13:00:00.000Z,99077,Liberty (County),Hurricane
DR,59b5d37f8d585ca31f3ec552,4337,FL,2017-09-04T13:00:00.000Z,99109,St. Johns (County),Hurricane
DR,59b5d37f8d585ca31f3ec54d,4337,FL,2017-09-04T13:00:00.000Z,99067,Lafayette (County),Hurricane
DR,59b5d37f8d585ca31f3ec54f,4337,FL,2017-09-04T13:00:00.000Z,99086,Miami-Dade (County),Hurricane
DR,59b5d37f8d585ca31f3ec54a,4337,FL,2017-09-04T13:00:00.000Z,99037,Franklin (County),Hurricane
DR,59b5d37f8d585ca31f3ec54b,4337,FL,2017-09-04T13:00:00.000Z,99047,Hamilton (County),Hurricane
DR,59b5d37f8d585ca31f3ec549,4337,FL,2017-09-04T13:00:00.000Z,99027,DeSoto (County),Hurricane
DR,59b5d37f8d585ca31f3ec547,4337,FL,2017-09-04T13:00:00.000Z,99005,Bay (County),Hurricane
DR,59b5d37f8d585ca31f3ec548,4337,FL,2017-09-04T13:00:00.000Z,99015,Charlotte (County),Hurricane
DR,59b5d37e8d585ca31f3ec546,4337,FL,2017-09-04T13:00:00.000Z,99133,Washington (County),Hurricane
DR,59b5d37e8d585ca31f3ec545,4337,FL,2017-09-04T13:00:00.000Z,99123,Taylor (County),Hurricane
DR,59b5d37e8d585ca31f3ec544,4337,FL,2017-09-04T13:00:00.000Z,99117,Seminole (County),Hurricane
DR,59b5d37e8d585ca31f3ec543,4337,FL,2017-09-04T13:00:00.000Z,99103,Pinellas (County),Hurricane
DR,59b5d37e8d585ca31f3ec542,4337,FL,2017-09-04T13:00:00.000Z,99093,Okeechobee (County),Hurricane
