"lon","lat","tmp_1"
-70.75,-49.25,14.1999998092651
-70.25,-49.25,14.8999996185303
-69.75,-49.25,15
-69.25,-49.25,14.8999996185303
-68.75,-49.25,15.1000003814697
-68.25,-49.25,15.3999996185303
-67.75,-49.25,16
-75.25,-48.75,10.3999996185303
-74.75,-48.75,10.3000001907349
-74.25,-48.75,10.8000001907349
-73.75,-48.75,7.40000009536743
-73.25,-48.75,8.5
-72.75,-48.75,11.1999998092651
-72.25,-48.75,10
-71.75,-48.75,10.3999996185303
-71.25,-48.75,12.8999996185303
-70.75,-48.75,13.1999998092651
-70.25,-48.75,13.8999996185303
-69.75,-48.75,13.6000003814697
-69.25,-48.75,14.3000001907349
-68.75,-48.75,15.3999996185303
-68.25,-48.75,15.8999996185303
-67.75,-48.75,15.8999996185303
